ST	penA	mtrR	porB	ponA	gyrA	parC	23S	NG-STAR_CC
568	15.001	62	100	100	100	2	100	1958
569	2.001	19	26	1	5	2	100	4479
570	2.001	19	8	1	5	28	100	15
571	12.001	1	8	1	12	1	100	26
572	5.002	63	8	1	1	10	100	127
573	2.002	54	13	100	100	17	100	3597
574	1.001	57	1	100	100	2	100	Ungroupable
575	2.001	1	8	100	3	28	100	Ungroupable
576	2.002	19	13	100	1	29	100	2209
577	2.002	54	100	100	1	4	100	719
578	2.002	54	14	100	100	17	100	1958
579	9.001	1	13	1	1	30	100	958
580	2.002	54	19	100	1	4	100	5817
581	2.002	57	11	100	1	31	100	Ungroupable
583	2.006	48	1	100	1	32	10	4450
584	22.001	65	2	100	100	7	100	84
585	12.001	66	8	1	100	7	100	311
586	14.001	67	14	100	100	2	100	463
587	12.001	68	8	1	100	7	100	311
588	100.001	18	14	100	100	1	12	17
590	5.002	69	100	1	1	3	100	127
591	19.001	25	100	1	7	33	100	309
592	2.002	54	13	100	1	18	100	2209
593	22.001	25	100	100	100	35	6	190
595	22.001	54	13	1	100	100	100	755
597	5.002	19	12	1	2	36	100	5974
598	2.001	1	8	1	1	31	100	127
599	2.001	54	14	100	100	1	100	564
601	2.002	19	8	100	14	1	100	2209
602	2.002	70	11	100	5	2	100	Ungroupable
603	2.001	1	23	1	5	1	100	409
604	14.001	69	100	1	100	1	100	4386
605	2.001	5	100	1	3	37	100	Ungroupable
606	2.002	54	14	100	1	22	100	1271
607	22.001	1	8	1	5	38	100	2503
608	1.001	54	14	100	100	7	100	3597
609	5.002	1	8	1	1	39	100	127
611	19.001	71	13	1	7	1	100	1096
614	9.001	1	20	1	1	2	100	139
615	9.001	18	3	1	1	22	100	958
616	2.001	72	3	100	2	40	100	5608
617	19.001	73	10	100	1	2	100	286
618	4.001	1	12	1	2	22	100	Ungroupable
620	19.001	18	13	1	15	20	100	1643
622	19.001	69	13	100	7	20	100	268
623	100.001	18	14	7	100	1	100	17
625	2.002	54	14	100	1	4	100	5817
626	2.002	70	8	100	5	2	100	4936
627	34.001	1	11	1	1	23	100	90
628	14.001	10	13	100	7	41	100	162
629	22.001	75	14	100	100	2	100	1449
630	2.006	76	3	100	100	1	100	42
631	12.001	161	12	1	16	42	100	Ungroupable
632	19.001	25	13	1	7	43	100	1096
633	2.002	77	4	100	1	44	100	Ungroupable
635	9.001	10	27	1	1	22	100	1054
636	2.001	54	13	1	2	7	100	Ungroupable
637	9.001	1	13	1	2	45	100	958
638	9.001	10	100	100	2	46	13	Ungroupable
639	19.001	25	8	1	7	43	100	3311
640	18.001	59	100	1	7	47	100	458
641	13.001	1	8	1	7	22	100	199
642	18.001	79	8	1	2	24	100	501
643	43.001	1	100	1	7	48	100	6751
644	100.001	18	14	100	100	7	14	17
645	2.002	81	100	100	100	2	100	1958
646	2.002	57	14	1	100	1	100	2036
647	2.001	82	13	100	100	2	100	55
648	2.001	57	3	100	100	2	100	520
649	2.002	84	14	100	100	100	100	1888
650	1.001	85	8	100	100	2	100	1636
651	19.001	82	14	100	100	7	100	1401
652	1.001	54	8	100	100	2	100	3597
653	19.001	25	4	1	7	43	100	3311
654	2.001	82	3	100	100	2	100	520
655	2.002	86	3	100	100	2	100	893
656	4.001	57	3	100	100	7	100	468
657	14.001	87	13	1	7	15	100	7013
658	1.001	54	14	100	100	1	100	3597
659	15.001	161	14	100	100	1	100	661
660	100.001	88	100	100	100	100	100	1418
661	15.001	161	100	100	100	1	100	661
662	15.001	89	100	100	100	1	100	661
663	100.001	54	100	100	100	1	100	1645
664	1.002	90	100	100	100	2	100	190
665	1.002	160	14	100	100	1	100	1077
666	22.001	22	30	1	100	1	100	Ungroupable
667	2.001	91	8	100	100	7	100	883
